Listing ID,Source,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
2063459583,Zillow,413 Markham St,1.0,1.0,900.0,43.66035,-79.41031,Palmerston-Little Italy,9.0,2400.0
2054131263,Zillow,1221 King St W,1.0,1.0,500.0,43.638584,-79.427666,South Parkdale,144.0,2200.0
2079696219,Zillow,47 Lower River St,1.0,1.0,500.0,43.656498,-79.35554,Moss Park,69.0,2200.0
442326900,Zillow,120 Rowntree Mill Rd,1.0,1.0,800.0,43.7535,-79.577644,Humber Summit,151.0,1645.0
442260890,Zillow,1100 Sheppard Ave W,1.0,1.0,626.0,43.75193,-79.4667,York University Heights,145.0,2400.0
442256079,Zillow,2839 Keele St,1.0,1.0,600.0,43.732067,-79.48294,Downsview,136.0,2150.0
442319710,Zillow,368 George St,1.0,1.0,550.0,43.659748,-79.374695,Moss Park,69.0,1749.0
442151118,Zillow,1 Thyra Ave,1.0,1.0,550.0,43.691334,-79.29028,Taylor-Massey,61.0,2195.0
442151037,Zillow,130 Lakeridge Dr,1.0,1.0,1200.0,43.775177,-79.13667,Centennial Scarborough,66.0,1755.0
442083099,Zillow,812 Sudbury St,1.0,1.0,580.0,43.640938,-79.42296,Little Portugal,38.0,2300.0
2079698966,Zillow,140 Carlton St,1.0,1.0,750.0,43.663155,-79.37519,Cabbagetown-South St.James Town,7.0,2250.0
442102967,Zillow,900 Mount Pleasant Rd,1.0,1.0,600.0,43.711735,-79.39191,North Toronto,55.0,2400.0
2069752428,Zillow,212 Eglinton Ave E,1.0,1.0,608.0,43.708378,-79.3921,North Toronto,55.0,2550.0
442026123,Zillow,671 Crawford St,1.0,1.0,635.0,43.6613,-79.42118,Palmerston-Little Italy,9.0,2450.0
441725633,Zillow,188 Redpath Ave,1.0,1.0,670.0,43.709927,-79.393906,North Toronto,55.0,2300.0
441580301,Zillow,40 Nanton Ave,1.0,1.0,1000.0,43.67585,-79.3722,Rosedale-Moore Park,44.0,3500.0
2067535432,Zillow,30 Canterbury Pl,1.0,1.0,700.0,43.773167,-79.41544,Willowdale West,54.0,2499.0
441702453,Zillow,373 Markham St,1.0,1.0,450.0,43.658653,-79.40964,Palmerston-Little Italy,9.0,1699.0
441552832,Zillow,51 Richardson Ave,1.0,1.0,650.0,43.69396,-79.47228,Beechborough-Greenbrook,153.0,1750.0
439813097,Zillow,798 Ossington Ave,1.0,1.0,900.0,43.663624,-79.42659,Dovercourt Village,23.0,2400.0
440623226,Zillow,132 Silverhill Dr,1.0,1.0,800.0,43.631847,-79.55065,Etobicoke City Centre,64.0,1900.0
407207193,Zillow,1864 Danforth Ave,1.0,1.0,900.0,43.684925,-79.31732,Danforth,1.0,2500.0
439183000,Zillow,3321 Dundas St W,1.0,1.0,800.0,43.665386,-79.48082,Junction Area,41.0,1950.0
345679167,Zillow,28 Macpherson Ave,1.0,1.0,680.0,43.679073,-79.39192,Annex,12.0,2330.0
442365867,Zillow,135 Maitland St,1.0,1.0,550.0,43.664978,-79.37821,Church-Wellesley,28.0,2300.0
2054139387,Zillow,196 Exbury Rd,1.0,1.0,871.0,43.728775,-79.509056,Oakdale-Beverley Heights,154.0,2499.0
436330002,Zillow,2720 Dundas St W,1.0,1.0,650.0,43.66509,-79.459694,Junction Area,41.0,2600.0
2055456658,Zillow,101 Driftwood Ave,1.0,1.0,700.0,43.754513,-79.51328,Glenfield-Jane Heights,143.0,1999.0
2070097961,Zillow,21 Carlton St,1.0,1.0,550.0,43.661102,-79.38193,Downtown Yonge East,34.0,2450.0
442350570,Zillow,295 Wright Ave,1.0,1.0,800.0,43.644062,-79.454796,High Park-Swansea,37.0,2400.0
442350276,Zillow,70 Heath St W,1.0,1.0,698.0,43.689915,-79.39863,Yonge-St.Clair,49.0,2350.0
442350277,Zillow,135 Lawton Blvd,1.0,1.0,640.0,43.69491,-79.39688,Yonge-St.Clair,49.0,2350.0
2070341761,Zillow,200 Bloor St W,1.0,1.0,550.0,43.66874,-79.39542,Annex,12.0,2450.0
2071887383,Zillow,25 Telegram Mews,1.0,1.0,650.0,43.640995,-79.39457,Harbourfront-CityPlace,21.0,2550.0
442325115,Zillow,90 Canon Jackson Dr E,1.0,1.0,599.0,43.69802,-79.47222,Beechborough-Greenbrook,153.0,2250.0
442325116,Zillow,2500 Bridletowne Cir,1.0,1.0,899.0,43.801365,-79.3177,East L'Amoreaux,85.0,2300.0
442312917,Zillow,3830 Bathurst St,1.0,1.0,899.0,43.739513,-79.434944,Clanton Park,76.0,2699.0
442312918,Zillow,5 Brookbanks Dr,1.0,1.0,1199.0,43.751858,-79.33335,Parkwoods-O'Connor Hills,115.0,2650.0
442306839,Zillow,317 The Kingsway,1.0,1.0,750.0,43.665073,-79.52345,Edenbridge-Humber Valley,84.0,2199.0
442289375,Zillow,125 Isaac Devins Blvd,1.0,1.0,700.0,43.731136,-79.53174,Pelmo Park-Humberlea,91.0,2000.0
2057216620,Zillow,336 Ossington Ave,1.0,1.0,700.0,43.651768,-79.42191,Trinity-Bellwoods,10.0,2300.0
440959429,Zillow,9 Wingreen Ct,1.0,1.0,675.0,43.7386,-79.34322,Banbury-Don Mills,78.0,2300.0
2054937825,Zillow,2033 Kennedy Rd,1.0,1.0,699.0,43.797707,-79.29501,East L'Amoreaux,85.0,2300.0
2066368953,Zillow,1720 Eglinton Ave E,1.0,1.0,700.0,43.72638,-79.31152,Victoria Village,129.0,2500.0
442182157,Zillow,12 Rusholme Dr,1.0,1.0,668.0,43.65006,-79.42855,Little Portugal,38.0,2474.0
2078964856,Zillow,801 King St W,1.0,1.0,660.0,43.642742,-79.407074,West Queen West,2.0,2500.0
441866636,Zillow,484 Avenue Rd,1.0,1.0,722.0,43.68731,-79.40233,Casa Loma,29.0,2250.0
2079392885,Zillow,2265 Victoria Park Ave,1.0,1.0,620.0,43.762814,-79.31678,Wexford/Maryvale,128.0,2330.0
442131672,Zillow,5 Brockley Dr,1.0,1.0,660.0,43.753483,-79.26263,Bendale-Glen Andrew,124.0,2375.0
442131615,Zillow,445 Eglinton Ave E,1.0,1.0,777.0,43.709652,-79.38263,Mount Pleasant East,14.0,2100.0
2071869294,Zillow,87 Dovercourt Rd,1.0,1.0,750.0,43.642612,-79.42183,West Queen West,2.0,2200.0
442306775,Zillow,318 King St E,1.0,1.0,550.0,43.652588,-79.36379,Moss Park,69.0,2350.0
2054308142,Zillow,3171 Bathurst St,1.0,1.0,650.0,43.722095,-79.43005,Bedford Park-Nortown,46.0,2459.0
2064252464,Zillow,577 Annette St,1.0,1.0,600.0,43.65969,-79.48082,Runnymede-Bloor West Village,3.0,1695.0
2084859151,Zillow,50 Brian Harrison Way,1.0,1.0,697.0,43.773823,-79.25895,Bendale-Glen Andrew,124.0,2475.0
441147017,Zillow,201 Carlaw Ave,1.0,1.0,699.0,43.662476,-79.340065,South Riverdale,58.0,3000.0
441734800,Zillow,1220 Bayview Ave,1.0,1.0,558.0,43.696426,-79.37204,Leaside-Bennington,19.0,2150.0
441175295,Zillow,45 Balliol St,1.0,1.0,669.0,43.69736,-79.395,South Eglinton-Davisville,20.0,2249.0
2055452720,Zillow,2190 Weston Rd,1.0,1.0,580.0,43.703114,-79.52653,Weston,155.0,2150.0
2053264708,Zillow,1A Vermont Ave,1.0,1.0,700.0,43.671906,-79.414246,Annex,12.0,2099.0
2081182359,Zillow,381 Front St W,1.0,1.0,699.0,43.642868,-79.39278,Harbourfront-CityPlace,21.0,2490.0
440401411,Zillow,60 Jones Ave,1.0,1.0,400.0,43.66413,-79.33371,South Riverdale,58.0,1800.0
2071830467,Zillow,31 Upper Canada Dr,1.0,1.0,720.0,43.753204,-79.404366,St.Andrew-Windfields,90.0,2000.0
439506151,Zillow,24 Forest Manor Rd,1.0,1.0,694.0,43.771057,-79.34464,Henry Farm,88.0,2285.0
2070420647,Zillow,88 Scott St,1.0,1.0,595.0,43.648415,-79.376465,Downtown Yonge East,34.0,2500.0
